Unnamed: 0,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,1st Flr SF,2nd Flr SF,Gr Liv Area,Full Bath,Half Bath,Bedroom AbvGr,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,SalePrice
1693,4,5,1954,1954,132.0,948,0,948,1,0,3,5,0,1.0,248.0,0,0,111000
888,7,5,2004,2005,0.0,847,1101,1948,2,1,4,8,1,2.0,434.0,100,48,195000
1299,8,5,2003,2004,472.0,1518,0,1518,1,1,1,6,1,2.0,588.0,185,140,274000
272,6,5,2006,2006,0.0,728,728,1456,2,1,3,8,0,2.0,429.0,0,0,172785
1776,5,8,1920,2004,0.0,939,574,1513,1,1,4,8,0,1.0,180.0,24,0,137500
721,6,5,2006,2006,68.0,1262,0,1262,2,0,2,5,0,2.0,572.0,0,120,185000
942,5,4,1919,1950,0.0,819,0,819,1,0,2,4,0,0.0,0.0,0,0,72000
371,7,6,1940,1984,0.0,960,780,1740,1,1,3,6,2,1.0,240.0,0,0,219500
222,8,5,1994,1994,0.0,2079,608,2687,2,1,4,9,0,2.0,618.0,168,12,270000
1286,7,5,2004,2005,200.0,868,762,1630,2,1,3,7,1,2.0,436.0,120,48,189500
999,6,6,1977,1977,62.0,686,702,1388,1,1,3,6,0,1.0,317.0,406,36,157500
1621,8,5,2005,2006,76.0,1498,0,1498,2,0,3,7,1,3.0,844.0,144,98,237000
518,6,5,1927,1950,0.0,1146,784,1930,2,0,4,8,0,1.0,316.0,0,0,149000
334,5,8,1916,1995,0.0,948,980,1928,2,0,5,10,0,0.0,0.0,0,0,160000
1013,5,5,1977,1977,0.0,1126,0,1126,2,0,3,5,1,2.0,484.0,295,41,160000
1342,8,5,2007,2007,246.0,895,923,1818,2,1,3,8,1,3.0,774.0,196,104,281500
1080,6,5,1960,1960,112.0,1656,0,1656,1,0,3,7,2,2.0,528.0,210,62,215000
1138,6,5,2000,2000,216.0,769,804,1573,2,1,3,4,0,2.0,440.0,0,32,177000
15,5,5,2004,2005,0.0,1430,0,1430,2,0,3,7,0,2.0,624.0,0,0,173500
707,8,5,1993,1994,125.0,1065,846,1911,2,1,3,8,1,2.0,471.0,182,81,215000
1676,5,5,1966,1966,0.0,1092,0,1092,1,0,3,6,0,1.0,264.0,259,0,123000
1830,6,5,1980,1980,0.0,630,636,1266,1,1,2,5,2,1.0,283.0,340,0,128000
1729,6,6,1957,1969,289.0,1721,0,1721,1,0,4,8,3,2.0,464.0,0,0,174850
1786,7,5,2000,2001,0.0,928,895,1823,2,1,3,6,0,2.0,626.0,192,36,235000
943,3,3,1915,1950,0.0,808,536,1344,2,0,3,8,0,0.0,0.0,42,0,82375
465,9,5,1998,1998,422.0,1671,1407,3078,2,1,4,9,1,3.0,806.0,108,87,410000
1463,6,6,1980,1980,0.0,529,516,1045,1,0,2,5,1,2.0,462.0,180,0,123900
199,10,5,2003,2003,922.0,2392,0,2392,2,0,3,8,1,3.0,968.0,248,105,386250
1237,8,5,2001,2001,0.0,1788,0,1788,2,0,3,7,1,2.0,522.0,202,151,236500
1084,9,5,2007,2007,480.0,1950,0,1950,2,0,2,7,1,3.0,706.0,156,207,383000
1911,6,5,1950,1950,0.0,765,368,1133,1,0,3,5,0,2.0,900.0,0,0,128500
1333,5,6,1953,2004,0.0,1216,0,1728,1,0,3,7,1,1.0,371.0,200,0,156000
1405,5,6,1968,1968,0.0,1044,0,1044,1,1,3,5,1,2.0,372.0,200,48,139000
757,6,5,1960,1960,212.0,1253,0,1253,1,1,2,5,1,1.0,352.0,0,213,157000
1436,8,5,2003,2004,0.0,1072,976,2048,2,1,3,8,2,2.0,552.0,0,48,301000
1450,6,5,1998,1998,0.0,882,914,1796,2,1,3,7,0,2.0,546.0,0,36,211000
1366,5,4,1961,1961,0.0,1800,0,1800,2,0,6,10,0,0.0,0.0,0,0,141000
1094,5,7,1955,1990,0.0,864,0,864,1,0,2,5,0,2.0,572.0,0,0,115000
1829,7,5,2005,2006,210.0,1614,0,1614,2,0,3,7,0,3.0,878.0,100,38,245700
43,5,5,1954,1954,335.0,1050,745,1795,2,0,4,7,0,1.0,352.0,0,0,131500
274,6,5,1979,1998,0.0,1586,0,1586,2,0,3,7,1,2.0,435.0,192,0,181000
1586,6,5,1915,1950,0.0,1138,1042,2180,1,1,3,7,1,2.0,720.0,0,0,161000
101,4,7,1920,2002,0.0,605,0,605,1,0,2,5,0,0.0,0.0,0,0,86000
1285,7,5,2002,2002,0.0,872,1037,1909,2,1,4,8,0,2.0,529.0,0,108,197000
759,7,5,2005,2005,0.0,728,728,1456,2,1,3,7,1,2.0,410.0,36,18,189000
1641,8,5,2006,2006,410.0,1588,0,1588,2,0,3,7,1,3.0,825.0,144,45,227000
107,6,7,1916,1950,0.0,1664,862,2526,2,0,5,10,1,1.0,216.0,88,15,136000
1379,5,8,1908,1991,0.0,936,316,1252,1,0,3,5,0,2.0,576.0,104,0,127000
497,6,5,1936,1950,0.0,1166,0,1639,1,0,3,6,0,1.0,240.0,0,0,115000
2033,8,5,1989,1989,0.0,1191,0,1191,2,0,2,5,1,2.0,531.0,112,81,162500
921,8,5,2002,2002,0.0,1358,0,1358,1,1,1,5,1,2.0,418.0,68,166,220000
787,6,9,1970,2007,0.0,546,546,1092,2,1,3,6,0,0.0,0.0,187,0,98000
1807,8,5,2004,2004,112.0,1426,488,1914,2,1,3,9,1,3.0,746.0,168,127,279000
1137,6,5,1975,1975,250.0,980,0,980,2,0,4,4,0,0.0,0.0,0,0,127500
1330,6,5,1997,1997,0.0,945,663,1608,2,1,3,7,1,2.0,470.0,252,30,189500
1163,5,7,1965,1965,168.0,1073,0,1073,1,1,3,6,0,2.0,515.0,0,0,156000
819,6,6,1992,1992,0.0,996,0,996,1,0,2,5,0,2.0,564.0,120,0,147000
72,6,6,1959,1959,0.0,1194,0,1194,1,0,3,6,1,2.0,539.0,0,0,159500
993,6,5,1967,1967,0.0,1691,0,1691,1,0,2,5,0,2.0,550.0,0,67,175000
1245,6,5,1926,1950,0.0,986,0,986,1,0,2,5,1,1.0,180.0,0,128,102000
1198,6,7,1950,2001,0.0,2158,0,2158,2,0,4,7,1,2.0,576.0,0,29,243000
1314,8,5,2005,2005,216.0,1074,990,2064,2,1,4,7,1,2.0,527.0,0,119,250000
481,6,5,1993,1994,120.0,886,794,1680,2,1,3,7,0,2.0,474.0,144,96,163000
1456,5,5,2007,2007,0.0,725,863,1588,3,0,3,8,0,2.0,561.0,0,0,212109
506,7,5,2003,2003,167.0,1479,0,1479,2,0,3,7,0,2.0,558.0,144,29,226000
705,4,6,1910,1996,0.0,828,658,1594,2,0,3,9,0,0.0,0.0,0,172,118000
838,9,5,2006,2006,122.0,1531,0,1531,2,0,2,6,1,3.0,700.0,184,52,300000
2042,4,4,1922,1950,0.0,964,0,1414,1,0,3,8,1,0.0,0.0,0,0,83000
771,6,5,1997,1997,0.0,905,881,1786,2,1,3,7,0,2.0,684.0,0,162,204750
1313,8,5,1985,1985,0.0,1502,0,1502,1,1,1,4,0,2.0,528.0,0,54,212000
900,5,7,1924,1950,145.0,816,750,1566,1,1,5,7,0,2.0,450.0,24,0,139000
311,6,5,1971,1971,252.0,1097,896,1993,2,1,4,8,1,2.0,495.0,0,66,190000
1864,7,7,1981,2003,306.0,725,754,1479,2,1,3,6,1,2.0,484.0,167,72,176000
405,6,5,2000,2000,0.0,819,695,1514,2,1,3,7,1,2.0,394.0,0,72,190000
1391,5,6,1967,1967,0.0,864,0,864,1,0,2,5,0,1.0,312.0,0,0,130000
1368,7,5,1998,1998,442.0,1661,0,1661,2,0,3,6,0,2.0,598.0,0,34,224900
309,8,5,1984,1984,0.0,1360,0,1360,1,0,1,4,1,2.0,565.0,63,0,187500
226,6,5,1999,1999,425.0,1224,0,1224,2,0,2,5,0,2.0,402.0,0,304,165000
1742,7,5,2003,2003,0.0,698,644,1342,2,1,3,7,1,2.0,393.0,100,56,178000
1516,5,3,1958,1958,0.0,1276,0,1276,1,0,3,5,0,1.0,350.0,0,0,60000
1568,6,7,1940,1950,0.0,720,495,1215,1,0,3,6,0,2.0,720.0,0,0,141000
862,8,5,2006,2006,0.0,1302,528,1830,2,1,3,7,0,3.0,859.0,0,40,221300
829,5,7,1948,2005,0.0,1122,0,1122,1,0,2,6,0,2.0,528.0,0,36,147000
148,7,5,2000,2000,144.0,985,857,1842,2,1,3,7,1,2.0,486.0,193,96,217500
654,5,7,1972,1972,0.0,894,0,894,1,0,3,5,0,2.0,552.0,256,0,149900
744,4,4,1969,1969,0.0,1258,0,1258,0,2,0,6,0,2.0,400.0,120,0,108959
1262,6,5,1995,1995,68.0,795,704,1499,2,1,3,6,1,2.0,473.0,413,91,187000
1182,4,6,1963,1963,20.0,1088,0,1088,1,0,2,4,0,2.0,520.0,0,0,110000
873,5,7,1922,1950,0.0,816,0,816,1,0,2,5,0,1.0,100.0,0,0,75200
575,6,5,2003,2004,170.0,848,0,848,1,0,1,4,0,2.0,420.0,140,0,144000
557,5,7,1966,1966,41.0,904,0,904,1,0,3,6,0,1.0,408.0,0,0,109900
727,8,5,2002,2002,148.0,1689,0,1689,2,0,3,7,2,3.0,857.0,150,59,271000
1356,5,8,1940,1997,0.0,672,0,672,1,0,2,4,0,1.0,240.0,168,0,108000
1380,9,5,2006,2006,302.0,1905,0,1905,2,0,3,8,1,3.0,788.0,0,191,320000
1192,5,5,1952,1952,0.0,1044,0,1044,1,0,2,4,0,2.0,504.0,0,0,55993
1316,6,5,1995,1996,0.0,773,885,1658,2,1,3,8,1,2.0,431.0,224,84,188000
1000,5,5,1955,1993,0.0,1867,0,1867,1,0,2,7,3,1.0,303.0,476,0,190000
286,9,5,2008,2008,246.0,2036,0,2036,2,0,3,9,1,3.0,780.0,90,154,410000
1645,6,7,1915,1965,0.0,754,649,1403,1,1,3,7,0,1.0,308.0,0,0,116000
2030,4,7,1900,1950,0.0,859,319,1178,1,0,2,7,0,1.0,384.0,68,0,102776
628,6,6,1958,1958,632.0,1336,0,1336,1,1,3,7,1,2.0,488.0,80,0,162000
598,8,5,2008,2008,140.0,1254,0,1254,2,0,2,5,0,3.0,810.0,168,92,221800
1814,5,3,1910,1996,0.0,658,526,1184,1,0,5,8,0,0.0,0.0,0,151,81000
1581,8,5,1999,1999,673.0,1268,1097,2365,2,1,3,8,1,3.0,856.0,0,128,337000
1849,6,5,2004,2004,0.0,864,729,1593,2,1,3,8,1,2.0,398.0,100,75,193000
1627,8,5,2006,2006,176.0,1324,0,1324,2,0,2,6,1,2.0,550.0,192,38,254000
1068,6,7,1922,1994,0.0,868,602,1470,1,1,2,6,0,2.0,624.0,0,0,140750
1261,7,5,2003,2004,92.0,760,896,1656,2,1,3,7,1,2.0,397.0,178,128,165400
1493,5,6,1942,1950,300.0,955,498,1453,1,1,3,7,2,1.0,240.0,0,0,132000
944,6,6,1972,1972,333.0,1378,741,2119,2,1,3,7,1,2.0,583.0,0,104,158000
755,6,5,1956,1956,0.0,1689,0,1689,1,0,3,7,1,2.0,480.0,0,0,127500
1235,5,7,1910,2002,0.0,768,664,1432,2,0,2,7,0,2.0,360.0,270,0,132000
936,7,5,1999,1999,0.0,988,885,1873,2,1,3,7,1,2.0,597.0,202,123,235500
609,7,5,2006,2006,350.0,1071,1101,2172,2,1,3,9,1,3.0,947.0,192,62,280000
1629,7,5,1995,1996,38.0,1253,0,1253,2,0,3,6,1,2.0,402.0,220,21,176000
965,6,6,1949,1950,340.0,1019,537,1556,2,0,3,6,1,2.0,470.0,0,0,172500
1459,8,5,2000,2000,322.0,1205,1029,2234,2,1,3,7,1,3.0,768.0,0,50,300000
1387,3,5,1955,1955,0.0,1733,0,1733,2,0,4,8,1,2.0,452.0,0,0,139600
493,6,6,1935,1950,0.0,647,595,1242,1,1,3,6,1,1.0,180.0,329,96,105000
1353,6,7,1934,1995,0.0,849,811,1660,1,1,3,6,1,1.0,240.0,0,0,188700
277,7,5,2005,2006,16.0,1555,0,1555,2,0,2,7,1,2.0,430.0,143,20,192500
1896,6,5,2003,2003,0.0,864,864,1728,2,1,3,7,0,2.0,673.0,216,56,207500
358,5,8,1955,1999,164.0,1057,0,1057,1,0,3,6,0,1.0,288.0,0,0,137000
1637,6,7,1915,2003,0.0,698,698,1396,1,0,3,7,0,1.0,384.0,0,0,153575
236,6,7,1959,1991,136.0,1652,0,1652,1,1,3,6,1,2.0,510.0,0,0,200000
551,6,7,1929,1950,0.0,950,208,1158,1,0,3,5,1,1.0,208.0,0,0,120000
1917,6,6,1978,1988,119.0,2073,0,2073,2,0,3,7,2,2.0,500.0,349,0,210000
937,6,8,1900,2004,0.0,940,476,1416,1,0,3,7,0,2.0,400.0,0,24,156500
208,7,5,2003,2004,18.0,1557,0,1557,2,0,2,7,1,2.0,420.0,143,20,234000
1422,5,8,1936,1989,0.0,1096,370,1466,2,0,3,7,1,2.0,566.0,436,21,170000
1600,5,5,1969,1969,0.0,864,615,1479,2,0,5,8,0,1.0,275.0,287,0,161000
58,6,7,1953,1953,0.0,1040,0,1040,1,0,3,6,0,1.0,293.0,0,0,136000
631,7,5,1994,1995,145.0,832,825,1657,2,1,3,6,0,2.0,483.0,144,74,189000
1624,9,5,2008,2008,450.0,2020,0,2020,2,0,3,7,1,3.0,896.0,192,98,404000
1909,9,5,1999,1999,165.0,1422,1177,2599,2,1,4,10,1,3.0,779.0,668,30,333168
1617,7,5,2000,2000,120.0,782,870,1652,2,1,3,6,0,2.0,532.0,0,70,207500
363,5,5,1932,2000,0.0,848,672,1520,1,0,3,6,0,1.0,281.0,0,0,159434
505,6,7,1993,1994,0.0,799,772,1571,2,1,3,7,1,2.0,380.0,0,40,178000
2028,7,7,1968,2003,0.0,2156,0,2156,2,0,3,9,1,2.0,508.0,0,80,262500
1915,5,6,1941,1950,0.0,803,0,803,1,0,2,5,0,2.0,360.0,0,0,87000
1644,7,6,1969,1969,434.0,1851,0,1851,2,0,3,8,1,2.0,506.0,0,146,192100
1247,3,4,1915,1950,0.0,694,520,1214,1,0,3,6,0,3.0,936.0,216,0,105000
879,7,5,1998,1999,290.0,853,900,1753,2,1,3,7,1,2.0,534.0,0,74,217000
1027,5,5,1951,1951,41.0,1081,341,1422,1,0,3,7,1,1.0,288.0,0,0,137500
1447,4,4,1972,1972,0.0,546,546,1092,1,1,3,5,0,1.0,253.0,0,0,79400
118,5,3,1960,1960,275.0,1721,0,1721,2,0,3,7,2,2.0,626.0,50,84,145000
1280,7,5,2006,2007,72.0,1402,0,1402,0,2,2,7,1,3.0,648.0,120,16,194201
834,5,6,1941,1950,0.0,676,455,1131,1,1,3,5,0,1.0,200.0,26,0,66500
522,7,5,1993,1994,94.0,996,1004,2000,2,1,3,9,1,3.0,650.0,190,48,188000
513,5,7,1925,1994,0.0,916,144,1060,1,0,1,6,1,1.0,308.0,0,65,136500
81,9,5,2008,2009,748.0,2234,0,2234,2,0,1,9,1,3.0,1166.0,0,60,501837
869,5,7,1930,1982,0.0,1001,653,1654,2,0,3,7,1,1.0,336.0,244,60,137000
1047,5,6,1963,1963,0.0,970,0,970,1,0,2,5,0,2.0,624.0,0,24,132500
380,5,5,1958,1958,0.0,960,0,960,1,0,3,5,0,2.0,624.0,0,0,125000
1057,5,5,1974,1974,0.0,896,896,1792,2,2,4,8,0,2.0,480.0,0,45,133000
1732,9,5,2009,2009,0.0,1365,1325,2690,2,1,3,8,1,3.0,864.0,0,197,398800
84,6,5,1997,1997,197.0,1189,0,1189,2,0,2,4,0,2.0,392.0,0,122,160500
1721,8,5,1995,1995,302.0,1511,0,1511,2,0,3,6,1,3.0,811.0,168,42,225000
1010,4,5,1924,1950,0.0,1093,576,1669,1,1,4,9,0,1.0,288.0,0,0,107000
329,5,7,1968,1968,0.0,1040,0,1040,1,1,3,5,0,2.0,686.0,188,0,145000
6,6,5,2005,2006,82.0,1072,0,1072,2,0,2,5,0,2.0,525.0,0,44,140000
1542,8,7,1994,2005,528.0,1686,762,2448,2,1,4,8,1,3.0,711.0,517,76,402000
1494,7,5,1990,1991,0.0,1442,0,1442,2,0,3,6,1,2.0,719.0,0,244,179900
1656,5,3,1951,1951,44.0,2136,0,2136,2,0,4,7,0,2.0,528.0,0,30,137900
1677,6,8,1956,1956,0.0,1188,0,1188,1,0,1,4,1,2.0,621.0,102,89,185000
451,8,5,2006,2007,99.34802631578947,1460,0,1460,2,0,3,6,1,2.0,480.0,0,20,247000
490,6,5,1992,1993,0.0,808,785,1593,2,1,3,7,1,2.0,389.0,342,40,178000
1793,4,7,1895,1950,0.0,825,536,1361,1,0,2,6,0,1.0,185.0,0,123,89000
287,5,5,1991,1991,0.0,1595,0,1595,2,0,2,5,0,2.0,672.0,0,0,152000
950,5,6,1976,1976,0.0,616,688,1304,1,1,3,4,1,1.0,336.0,141,24,115000
2038,6,5,1965,1965,98.0,1042,0,1042,2,0,3,5,0,2.0,440.0,192,0,161000
1403,5,7,1972,2007,0.0,768,0,768,1,0,2,5,0,2.0,396.0,58,0,133000
1833,5,5,1959,1959,0.0,1183,0,1183,1,0,3,6,0,1.0,288.0,0,0,138000
1453,4,4,1976,1993,0.0,1620,0,1620,2,0,3,8,1,2.0,490.0,120,78,150000
1374,3,6,1935,2003,0.0,729,0,729,1,0,2,5,0,0.0,0.0,0,0,52000
1745,7,5,2000,2000,0.0,980,1276,2256,2,1,4,8,1,2.0,554.0,224,54,236000
832,8,5,2006,2006,178.0,1370,0,1370,2,0,2,6,1,2.0,484.0,120,49,205000
1005,6,5,1980,1980,0.0,923,0,923,2,0,2,5,1,1.0,264.0,80,0,143000
1881,7,5,2004,2004,0.0,1391,0,1391,2,0,2,5,0,2.0,530.0,156,158,196000
1117,10,5,2001,2002,705.0,2633,0,2633,2,1,2,8,2,3.0,804.0,314,140,466500
1692,9,5,1993,1994,738.0,1933,1567,3500,3,1,4,11,1,3.0,959.0,870,86,584500
327,6,5,1976,1976,0.0,958,0,958,2,0,2,5,1,2.0,440.0,0,205,128000
442,5,7,1983,1983,0.0,816,0,816,1,0,2,4,0,1.0,264.0,315,0,128500
807,4,6,1925,1950,0.0,572,0,572,1,0,2,4,0,1.0,200.0,0,0,75000
1211,7,5,1986,1986,0.0,1295,0,1295,2,0,2,5,0,1.0,312.0,0,0,230000
964,6,5,2006,2007,0.0,1100,0,1100,1,1,3,6,0,0.0,0.0,0,136,146000
1326,7,5,1996,1996,0.0,1302,735,2037,2,1,3,8,1,2.0,472.0,100,33,229000
177,5,5,1962,1962,116.0,1092,0,1092,1,0,3,6,1,1.0,288.0,0,20,139000
824,7,5,2006,2006,0.0,1143,0,1143,1,1,3,5,0,0.0,0.0,0,55,147000
1378,5,5,1992,1992,0.0,624,663,1287,1,1,3,6,0,2.0,440.0,150,0,130000
86,7,5,2003,2003,99.34802631578947,1200,0,1200,2,0,2,5,0,2.0,555.0,0,41,184900
1686,3,4,1950,1950,0.0,1040,0,1040,2,0,2,6,0,2.0,400.0,0,0,93500
1950,5,7,1971,2004,0.0,874,0,874,1,0,3,5,0,1.0,352.0,0,0,130000
457,5,9,1895,1999,0.0,751,783,1534,1,1,3,6,0,0.0,0.0,0,112,148000
1877,5,6,1996,1996,0.0,1100,0,1100,1,1,3,5,0,2.0,462.0,0,0,145000
54,6,6,1951,1951,522.0,1575,0,1575,1,1,2,5,1,2.0,400.0,0,0,155000
1541,6,5,1963,1963,379.0,1146,0,1146,1,0,3,6,1,1.0,294.0,345,75,165000
643,4,8,1900,2003,0.0,717,322,1039,1,0,2,6,0,1.0,281.0,0,0,114000
677,4,6,1973,1973,0.0,526,462,988,1,0,1,4,1,1.0,297.0,0,101,94900
221,5,6,1961,1961,0.0,1050,0,1050,1,0,3,6,0,1.0,368.0,0,319,136500
113,6,6,1962,1962,261.0,1116,0,1116,1,1,3,5,0,2.0,440.0,0,0,160000
1091,6,5,1953,1953,238.0,1644,0,1644,1,0,3,7,2,2.0,418.0,110,0,167000
1259,9,5,2000,2000,204.0,1476,677,2153,2,1,3,8,2,3.0,736.0,253,142,313000
1278,7,5,2003,2003,0.0,992,940,1932,2,1,3,7,1,2.0,610.0,0,120,213000
174,7,5,1978,1978,206.0,1601,0,1601,2,0,3,7,1,2.0,478.0,0,0,157000
855,5,7,1921,2006,0.0,964,0,964,1,0,2,5,0,2.0,432.0,0,0,163500
589,8,5,2008,2009,288.0,1836,0,1836,2,0,3,8,1,2.0,517.0,0,175,264500
1599,5,5,1961,1961,0.0,904,611,1774,2,0,4,8,1,1.0,384.0,290,40,165000
18,6,5,1977,1977,148.0,1285,0,1285,1,1,3,7,1,2.0,528.0,138,0,143500
423,5,7,1937,1950,252.0,981,787,1768,1,1,3,7,2,1.0,240.0,0,0,175000
1376,5,6,1911,1950,0.0,1024,940,1964,1,1,4,7,0,0.0,0.0,0,192,130000
285,6,5,1984,1984,136.0,1522,0,1522,2,0,3,7,1,2.0,552.0,0,77,182000
1623,6,5,1954,1954,28.0,1293,0,1293,2,0,2,5,0,2.0,452.0,280,0,149900
428,7,5,1999,1999,210.0,1223,1089,2312,2,1,4,8,1,3.0,658.0,298,0,245000
1549,6,4,1967,1967,0.0,1040,0,1040,1,0,3,6,1,2.0,480.0,0,0,163000
781,4,7,1961,1961,0.0,914,0,914,1,0,2,4,0,1.0,270.0,140,0,128000
669,7,6,2007,2007,0.0,1258,0,1258,2,0,3,6,0,2.0,462.0,0,0,173500
31,8,7,1929,1950,0.0,792,725,1517,1,0,3,7,2,2.0,400.0,0,0,230000
982,5,6,1970,1970,76.0,1002,0,1002,1,0,3,5,0,2.0,902.0,0,0,148500
722,6,5,2005,2006,126.0,1175,0,1175,1,0,3,6,0,0.0,0.0,0,90,146000
1731,6,5,1979,1979,0.0,918,0,918,2,0,2,5,1,1.0,264.0,28,0,99500
214,5,6,1968,1968,0.0,1196,0,1196,1,0,3,6,0,1.0,336.0,257,0,144000
849,6,6,1967,1967,120.0,1829,0,1829,2,0,4,8,0,2.0,535.0,0,76,218500
1468,7,5,2005,2005,0.0,520,600,1200,2,1,2,4,0,2.0,480.0,0,166,151000
326,5,5,1973,1973,564.0,1656,0,1656,2,0,4,8,0,2.0,506.0,0,211,135000
560,4,5,1957,1989,0.0,1104,684,1788,1,0,5,8,2,1.0,304.0,120,0,161500
1691,5,6,1956,1956,0.0,1050,0,1050,1,0,2,5,0,1.0,338.0,0,0,128900
700,4,5,1930,1950,0.0,372,720,1092,2,0,3,7,0,0.0,0.0,0,0,55000
780,8,5,2007,2008,338.0,1646,0,1646,2,0,3,7,1,3.0,800.0,192,44,293077
1220,4,6,1945,1950,0.0,747,0,747,1,0,2,4,0,1.0,220.0,0,0,80000
341,6,7,1923,1996,0.0,900,602,1502,1,1,3,7,2,1.0,180.0,96,0,165000
629,5,5,1950,1950,0.0,910,648,1558,1,1,4,6,0,1.0,282.0,289,0,152000
147,6,6,1981,1981,210.0,1422,0,1422,2,0,3,7,1,2.0,576.0,276,0,175500
1228,7,5,2007,2007,0.0,628,728,1356,2,1,3,6,1,2.0,484.0,100,24,177439
360,5,7,1967,1975,0.0,1387,0,1387,1,0,3,6,1,1.0,300.0,0,0,145000
83,4,7,1971,2006,0.0,864,0,864,1,0,3,5,0,2.0,576.0,200,0,130000
48,5,5,1954,1954,110.0,1063,0,1063,1,0,3,6,0,1.0,280.0,0,0,128000
468,6,8,1945,2002,0.0,1436,884,2320,2,1,3,9,1,1.0,180.0,224,0,259500
155,6,5,2005,2005,0.0,1326,0,1326,2,0,3,6,0,2.0,388.0,120,23,203000
889,8,5,2008,2008,0.0,786,804,1590,2,1,3,6,0,2.0,676.0,0,30,210000
1846,6,8,1961,1996,0.0,912,0,912,1,0,3,5,0,1.0,288.0,168,0,142000
1231,8,5,1990,1990,0.0,1321,0,1321,1,0,1,4,1,2.0,484.0,0,64,212000
1720,4,6,1941,1950,0.0,672,0,672,1,0,2,4,0,1.0,234.0,0,113,113000
1233,7,7,1983,1983,174.0,1260,0,1260,2,0,3,6,0,2.0,598.0,152,0,181900
1671,9,5,2009,2010,760.0,2364,0,2364,2,1,2,11,2,3.0,820.0,0,67,611657
500,6,8,1966,2000,252.0,800,832,1632,1,1,4,7,0,2.0,484.0,0,40,173000
1810,6,6,1992,1992,0.0,833,897,1730,2,1,3,6,0,2.0,528.0,0,91,171500
179,6,5,1971,1971,504.0,483,504,987,1,1,2,5,0,1.0,264.0,275,0,96000
1075,5,7,1960,2002,45.0,1134,0,1134,1,0,2,6,0,1.0,254.0,0,16,135000
1801,6,6,1962,1962,318.0,858,858,1716,1,1,4,8,1,2.0,490.0,0,84,171000
817,6,7,1921,2005,0.0,759,539,1298,2,0,2,8,1,1.0,240.0,216,0,146500
916,9,5,2005,2005,616.0,1684,0,1684,2,0,2,6,1,2.0,564.0,495,72,266000
1187,7,6,2007,2007,0.0,1689,0,1689,2,0,3,7,0,3.0,954.0,0,56,248328
